134,825.00,408.00,0,149758
-37,134,825.00,409.00,0,152838
-37,134,825.00,408.00,0,152846
-37,133,826.00,409.00,0,152854
-37,133,825.00,408.00,0,152862
-37,133,826.00,408.00,0,152870
-37,133,825.00,408.00,0,152879
-37,133,824.00,408.00,0,152887
-37,133,825.00,408.00,0,152896
-37,133,825.00,408.00,0,152904
-37,133,825.00,409.00,0,152912
-37,133,825.00,409.00,0,152921
-37,133,826.00,409.00,0,152929
-37,133,825.00,408.00,0,152937
-37,133,825.00,408.00,0,152945
-37,133,825.00,408.00,0,152953
-37,133,825.00,408.00,0,152963
-37,133,825.00,409.00,0,152971
-37,133,825.00,408.00,0,152979
-37,133,825.00,408.00,0,152987
-37,133,825.00,408.00,0,152995
-37,133,825.00,408.00,0,153004
-37,133,825.00,408.00,0,153012
-37,133,825.00,408.00,0,153020
-37,133,826.00,408.00,0,153029
-37,133,825.00,409.00,0,153037
-37,133,825.00,408.00,0,153046
-37,133,825.00,408.00,0,153054
-37,133,825.00,408.00,0,153062
-37,133,825.00,408.00,0,153070
-37,133,825.00,408.00,0,153078
-37,133,825.00,408.00,0,153086
-37,133,825.00,409.00,0,153096
-37,133,825.00,408.00,0,153104
-37,133,825.00,408.00,0,153112
-37,133,825.00,409.00,0,153120
-37,133,826.00,409.00,0,153128
-37,133,826.00,408.00,0,153137
-37,133,825.00,408.00,0,153145
-37,133,826.00,408.00,0,153153
-37,133,825.00,408.00,0,153162
-37,133,825.00,408.00,0,153170
-37,133,825.00,408.00,0,153179
-37,133,825.00,408.00,0,153187
-37,133,825.00,409.00,0,153195
-37,133,826.00,408.00,0,153203
-37,133,825.00,408.00,0,153211
-37,133,825.00,408.00,0,153220
-37,133,826.00,408.00,0,153229
-37,133,825.00,409.00,0,153237
-37,133,825.00,408.00,0,153245
-37,133,825.00,409.00,0,153253
-37,133,825.00,408.00,0,153262
-37,133,825.00,409.00,0,153270
-37,133,825.00,409.00,0,153278
-37,133,824.00,408.00,0,153286
-37,133,826.00,408.00,0,153295
-37,133,825.00,409.00,0,153304
-37,133,826.00,408.00,0,153312
-37,133,825.00,408.00,0,153320
-37,133,825.00,409.00,0,153328
-37,133,825.00,409.00,0,153336
-37,133,825.00,408.00,0,153345
-15,133,825.00,374.00,0,153353
19,133,825.00,375.00,0,153361
35,133,825.00,407.00,0,153369
35,133,825.00,425.00,0,153377
16,133,826.00,425.00,0,153385
-13,133,825.00,425.00,0,153394
-45,133,826.00,442.00,0,153402
-73,132,825.00,425.00,0,153410
-93,132,825.00,425.00,0,153418
-103,132,825.00,408.00,0,153427
-101,131,825.00,396.00,0,153436
-89,130,826.00,392.00,0,153444
-73,130,825.00,391.00,0,153452
-53,129,825.00,391.00,0,153461
-35,128,825.00,391.00,0,153469
-23,128,825.00,409.00,0,153478
-18,128,825.00,408.00,0,153486
-19,128,826.00,425.00,0,153494
-29,128,825.00,409.00,0,153502
-41,129,825.00,425.00,0,153510
-53,130,825.00,425.00,0,153519
-62,130,825.00,425.00,0,153528
-65,130,826.00,409.00,0,153536
-65,130,825.00,408.00,0,153544
-60,130,825.00,408.00,0,153552
-52,130,825.00,408.00,0,153561
-44,130,826.00,393.00,0,153569
-40,129,825.00,408.00,0,153577
-38,128,825.00,408.00,0,153585
-40,128,825.00,408.00,0,153594
-44,128,825.00,425.00,0,153603
-47,128,0.00,408.00,0,153610
-13,128,0.00,358.00,0,153618
73,128,104.00,325.00,0,153626
174,128,242.00,325.00,0,153634
