0,-1,826.00,408.00,0,15252
0,-1,825.00,408.00,0,15259
0,-1,826.00,408.00,0,15266
0,-1,826.00,408.00,0,15273
0,-1,826.00,408.00,0,15281
0,-1,826.00,408.00,0,15288
0,-1,826.00,408.00,0,15295
0,-1,826.00,408.00,0,15302
0,-1,826.00,408.00,0,15309
0,-1,825.00,408.00,0,15318
0,-1,825.00,408.00,0,15325
0,-1,826.00,408.00,0,15332
0,-1,825.00,408.00,0,15339
0,-1,826.00,408.00,0,15346
0,-1,826.00,408.00,0,15353
0,-1,826.00,408.00,0,15361
0,-1,826.00,408.00,0,15368
0,-1,826.00,408.00,0,15375
0,-1,825.00,408.00,0,15383
0,-1,825.00,408.00,0,15390
0,-1,826.00,408.00,0,15397
0,-1,826.00,409.00,0,15405
0,-1,826.00,408.00,0,15412
0,-1,826.00,408.00,0,15419
0,-1,826.00,408.00,0,15426
0,-1,826.00,408.00,0,15433
0,-1,826.00,408.00,0,15440
0,-1,825.00,408.00,0,15449
0,-1,825.00,408.00,0,15456
0,-1,825.00,408.00,0,15463
0,-1,825.00,408.00,0,15470
0,-1,826.00,409.00,0,15477
0,-1,826.00,408.00,0,15484
0,-1,826.00,408.00,0,15492
0,-1,826.00,408.00,0,15499
0,-1,826.00,408.00,0,15506
0,-1,826.00,408.00,0,15514
0,-1,825.00,408.00,0,15521
0,-1,825.00,408.00,0,15528
0,-1,826.00,408.00,0,15536
0,-1,826.00,408.00,0,15543
0,-1,826.00,408.00,0,15550
0,-1,826.00,408.00,0,15557
0,-1,826.00,408.00,0,15564
0,-1,826.00,408.00,0,15571
0,-1,826.00,408.00,0,15580
0,-1,825.00,408.00,0,15587
0,-1,826.00,408.00,0,15594
0,-1,825.00,408.00,0,15601
0,-1,826.00,408.00,0,15608
0,-1,826.00,408.00,0,15616
0,-1,826.00,408.00,0,15623
0,-1,826.00,408.00,0,15630
0,-1,826.00,408.00,0,15637
0,-1,826.00,408.00,0,15645
0,-1,826.00,408.00,0,15652
0,-1,825.00,408.00,0,15660
0,-1,826.00,408.00,0,15667
0,-1,826.00,408.00,0,15674
0,-1,826.00,408.00,0,15681
0,-1,826.00,408.00,0,15688
0,-1,826.00,408.00,0,15695
0,-1,826.00,408.00,0,15703
0,-1,826.00,408.00,0,15711
0,-1,825.00,408.00,0,15718
0,-1,825.00,408.00,0,15725
0,-1,826.00,409.00,0,15732
0,-1,825.00,409.00,0,15739
0,-1,826.00,408.00,0,15747
0,-1,826.00,408.00,0,15754
0,-1,826.00,408.00,0,15761
0,-1,826.00,408.00,0,15768
0,-1,825.00,408.00,0,15775
0,-1,825.00,408.00,0,15783
0,-1,826.00,408.00,0,15791
0,-1,825.00,409.00,0,15798
0,-1,826.00,408.00,0,15805
0,-1,826.00,408.00,0,15812
0,-1,826.00,408.00,0,15819
0,-1,826.00,408.00,0,15826
0,-1,826.00,408.00,0,15834
0,-1,826.00,408.00,0,15841
0,-1,826.00,408.00,0,15849
0,-1,825.00,408.00,0,15856
